# Chunk-averaged data for fix velo and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
101000 20 5324.000000000001
  2 0.075 264.74 -0.029413
  3 0.125 264.54 -0.050316
  4 0.175 260.46 -0.0330096
  5 0.225 257.64 -0.0367589
  6 0.275 259.56 0.00985532
  7 0.325 267.34 0.043755
  8 0.375 263.26 0.0439075
  9 0.425 264.46 0.0667904
  10 0.475 271.58 0.0940566
  11 0.525 268.86 0.0666442
  12 0.575 272.4 0.0518609
  13 0.625 272.46 0.0478917
  14 0.675 265.1 -0.0207335
  15 0.725 268.22 0.0133695
  16 0.775 267.86 0.00119642
  17 0.825 267.92 -0.00125745
  18 0.875 268.74 -0.015341
  19 0.925 267.04 -0.0723168
  20 0.975 268.6 -0.0444841
130000 20 5324
  1 0.025 272.84 -0.102299
  2 0.075 268.5 -0.029581
  3 0.125 261.42 -0.0425916
  4 0.175 263.6 -0.0225465
  5 0.225 260.02 -0.0257284
  6 0.275 263.3 -0.0226529
  7 0.325 264.6 0.0225598
  8 0.375 257.42 0.0192692
  9 0.425 265.48 0.0865052
  10 0.475 269.48 0.113262
  11 0.525 267.06 0.11815
  12 0.575 273.84 0.107683
  13 0.625 266.6 0.0844144
  14 0.675 271.66 0.0558284
  15 0.725 267.08 0.0605737
  16 0.775 269.22 -0.0082906
  17 0.825 266.16 -0.0190483
  18 0.875 264.64 -0.0612452
  19 0.925 263.3 -0.108705
  20 0.975 267.78 -0.118756
131000 20 5323.999999999999
  1 0.025 267.64 -0.0468706
  2 0.075 270.42 -0.108642
  3 0.125 268.76 -0.0604115
  4 0.175 262.72 -0.0450489
  5 0.225 263.64 0.00148157
  6 0.275 261.02 0.0293447
  7 0.325 265.04 0.0498064
  8 0.375 265.6 0.0742272
  9 0.425 266.64 0.0796649
  10 0.475 267.88 0.0927323
  11 0.525 264.14 0.101232
  12 0.575 265.08 0.0605082
  13 0.625 267.6 0.0400562
  14 0.675 270.16 0.0290459
  15 0.725 273.52 0.028938
  16 0.775 264.42 0.000888688
  17 0.825 265.02 -0.0367976
  18 0.875 265.54 -0.0478974
  19 0.925 263.8 -0.0489071
  20 0.975 265.36 -0.080599
132000 20 5324.000000000001
  1 0.025 268.12 -0.0789408
  2 0.075 266.24 -0.0855394
  3 0.125 265.84 -0.0850332
  4 0.175 262.1 -0.0858678
  5 0.225 269.06 -0.0615645
  6 0.275 262.48 -0.00877962
  7 0.325 266.22 0.0302503
  8 0.375 264.16 0.0828196
  9 0.425 269.64 0.0587299
  10 0.475 269.54 0.0775153
  11 0.525 267.4 0.0793827
  12 0.575 268.06 0.0701033
  13 0.625 270.1 0.0958273
  14 0.675 266.42 0.077518
  15 0.725 269.54 0.0199651
  16 0.775 265.34 0.0541573
  17 0.825 268.18 0.036754
  18 0.875 262.52 -0.0225245
  19 0.925 263 -0.0614768
  20 0.975 260.04 -0.0885728
133000 20 5324
  1 0.025 263.6 -0.0996272
  2 0.075 262.74 -0.0897386
  3 0.125 271.4 -0.0770043
  4 0.175 270.66 -0.0530331
  5 0.225 266.2 -0.0127699
  6 0.275 266.24 -0.0106561
  7 0.325 257.42 0.026518
  8 0.375 264.12 0.077606
  9 0.425 265.64 0.0672687
  10 0.475 263.66 0.0808703
  11 0.525 264.52 0.0789648
  12 0.575 264.26 0.0758428
  13 0.625 266.8 0.0478369
  14 0.675 267.64 0.0487089
  15 0.725 271.4 0.0467607
  16 0.775 265.84 0.0242718
  17 0.825 267.72 0.0177521
  18 0.875 269.44 -0.0118699
  19 0.925 268.52 -0.0538861
  20 0.975 266.18 -0.0689563
134000 20 5324
  1 0.025 268.94 -0.0325167
  2 0.075 270.12 -0.0202893
  3 0.125 265.34 -0.0545809
  4 0.175 268.28 -0.00485347
  5 0.225 267.24 -0.051591
  6 0.275 270.7 -0.0323488
  7 0.325 267.86 -0.00292828
  8 0.375 260.84 0.0176292
  9 0.425 261.68 0.0655487
  10 0.475 264 0.0531935
  11 0.525 259.78 0.0490832
  12 0.575 258.08 0.0727525
  13 0.625 262.12 0.0752651
  14 0.675 272.52 0.0807165
  15 0.725 269.12 0.0565116
  16 0.775 270.16 0.00621927
  17 0.825 269.32 -0.0334256
  18 0.875 267.72 -0.0501039
  19 0.925 267.04 -0.0381368
  20 0.975 263.14 -0.0387918
135000 20 5324.000000000001
  1 0.025 271.66 -0.0366795
  2 0.075 272.58 -0.0425002
  3 0.125 268.72 -0.0413513
  4 0.175 264.48 -0.0120365
  5 0.225 266.48 -0.00983828
  6 0.275 267.02 -0.0239577
  7 0.325 267.4 -0.030441
  8 0.375 265.5 -0.0445557
  9 0.425 258.84 0.0267585
  10 0.475 260.5 0.044056
  11 0.525 258.42 0.0196254
  12 0.575 262.58 0.0283595
  13 0.625 261.22 0.0407791
  14 0.675 266.92 0.037662
  15 0.725 262.62 0.0748318
  16 0.775 263.6 0.049368
  17 0.825 271.32 0.0371808
  18 0.875 274.02 0.00389507
  19 0.925 270.62 -0.00134446
  20 0.975 269.5 -0.001713
136000 20 5323.999999999999
  1 0.025 272.56 5.84786e-05
  2 0.075 271.2 -0.0160183
  3 0.125 269.06 -0.0466808
  4 0.175 262.64 -0.0226735
  5 0.225 264.98 -0.0338623
  6 0.275 268.4 -0.0226103
  7 0.325 269.64 0.0243108
  8 0.375 269.22 0.0354316
  9 0.425 264.76 0.0230219
  10 0.475 266.08 0.0209582
  11 0.525 261.24 0.0244478
  12 0.575 257.44 0.0139364
  13 0.625 258.7 0.0470327
  14 0.675 261.32 0.0623598
  15 0.725 270.16 0.0325857
  16 0.775 268.42 -0.0209206
  17 0.825 268.92 0.00403451
  18 0.875 268.32 -0.00492231
  19 0.925 262.9 -0.00418955
  20 0.975 268.04 -0.00142128
137000 20 5323.999999999999
  1 0.025 261.76 -0.0466055
  2 0.075 265.22 -0.0821418
  3 0.125 269.22 -0.0474918
  4 0.175 269.44 -0.024737
  5 0.225 267.92 -0.011003
