LAMMPS data file. Generated 2026-01-09 08:54:52.954177
6740 atoms
70 bonds
60 angles
50 dihedrals
0 impropers
4 atom types
1 bond types

0.0 14.769394404940591 xlo xhi
0.0 14.769497835581483 ylo yhi
0.0 43.711310009943 zlo zhi

Masses

1 1.0 
2 1.0 
3 1.0 
4 1.0 

Atoms # molecular

370 370 1  9.600528 1.477004 21.416562
371 371 1  9.600528 2.215506 20.678060
372 372 1  10.339030 1.477004 20.678060
373 373 1  10.339030 2.215506 21.416562
374 374 1  11.077532 1.477004 21.416562
375 375 1  11.077532 2.215506 20.678060
376 376 1  11.816034 1.477004 20.678060
377 377 1  11.816034 2.215506 21.416562
378 378 1  12.554536 1.477004 21.416562
379 379 1  12.554536 2.215506 20.678060
380 380 1  13.293038 1.477004 20.678060
381 381 1  13.293038 2.215506 21.416562
382 382 1  14.031541 1.477004 21.416562
383 383 1  14.031541 2.215506 20.678060
384 384 1  0.000000 2.954009 20.678060
385 385 1  0.000000 3.692511 21.416562
386 386 1  0.738502 2.954009 21.416562
387 387 1  0.738502 3.692511 20.678060
388 388 1  1.477004 2.954009 20.678060
389 389 1  1.477004 3.692511 21.416562
390 390 1  2.215506 2.954009 21.416562
391 391 1  2.215506 3.692511 20.678060
392 392 1  2.954009 2.954009 20.678060
393 393 1  2.954009 3.692511 21.416562
394 394 1  3.692511 2.954009 21.416562
395 395 1  3.692511 3.692511 20.678060
396 396 1  4.431013 2.954009 20.678060
397 397 1  4.431013 3.692511 21.416562
398 398 1  5.169515 2.954009 21.416562
399 399 1  5.908017 2.954009 20.678060
400 400 1  6.646519 2.954009 21.416562
401 401 1  7.385021 2.954009 20.678060
402 402 1  8.123524 2.954009 21.416562
403 403 1  8.862026 2.954009 20.678060
404 404 1  9.600528 2.954009 21.416562
405 405 1  10.339030 2.954009 20.678060
406 406 1  10.339030 3.692511 21.416562
407 407 1  11.077532 2.954009 21.416562
408 408 1  11.077532 3.692511 20.678060
409 409 1  11.816034 2.954009 20.678060
410 410 1  11.816034 3.692511 21.416562
411 411 1  12.554536 2.954009 21.416562
412 412 1  12.554536 3.692511 20.678060
413 413 1  13.293038 2.954009 20.678060
414 414 1  13.293038 3.692511 21.416562
415 415 1  14.031541 2.954009 21.416562
416 416 1  14.031541 3.692511 20.678060
417 417 1  0.000000 4.431013 20.678060
418 418 1  0.000000 5.169515 21.416562
419 419 1  0.738502 4.431013 21.416562
420 420 1  0.738502 5.169515 20.678060
421 421 1  1.477004 4.431013 20.678060
422 422 1  1.477004 5.169515 21.416562
423 423 1  2.215506 4.431013 21.416562
424 424 1  2.215506 5.169515 20.678060
425 425 1  2.954009 4.431013 20.678060
426 426 1  2.954009 5.169515 21.416562
427 427 1  3.692511 4.431013 21.416562
428 428 1  11.077532 4.431013 21.416562
429 429 1  11.816034 4.431013 20.678060
430 430 1  11.816034 5.169515 21.416562
431 431 1  12.554536 4.431013 21.416562
432 432 1  12.554536 5.169515 20.678060
433 433 1  13.293038 4.431013 20.678060
434 434 1  13.293038 5.169515 21.416562
435 435 1  14.031541 4.431013 21.416562
436 436 1  14.031541 5.169515 20.678060
437 437 1  0.000000 5.908017 20.678060
438 438 1  0.000000 6.646519 21.416562
439 439 1  0.738502 5.908017 21.416562
440 440 1  0.738502 6.646519 20.678060
441 441 1  1.477004 5.908017 20.678060
442 442 1  1.477004 6.646519 21.416562
443 443 1  2.215506 5.908017 21.416562
444 444 1  2.215506 6.646519 20.678060
445 445 1  2.954009 5.908017 20.678060
446 446 1  2.954009 6.646519 21.416562
447 447 1  11.816034 5.908017 20.678060
448 448 1  11.816034 6.646519 21.416562
449 449 1  12.554536 5.908017 21.416562
450 450 1  12.554536 6.646519 20.678060
451 451 1  13.293038 5.908017 20.678060
452 452 1  13.293038 6.646519 21.416562
453 453 1  14.031541 5.908017 21.416562
454 454 1  14.031541 6.646519 20.678060
455 455 1  0.000000 7.385021 20.678060
456 456 1  0.000000 8.123524 21.416562
457 457 1  0.738502 7.385021 21.416562
458 458 1  0.738502 8.123524 20.678060
459 459 1  1.477004 7.385021 20.678060
460 460 1  1.477004 8.123524 21.416562
461 461 1  2.215506 7.385021 21.416562
462 462 1  2.215506 8.123524 20.678060
463 463 1  2.954009 7.385021 20.678060
464 464 1  2.954009 8.123524 21.416562
465 465 1  11.816034 7.385021 20.678060
466 466 1  11.816034 8.123524 21.416562
467 467 1  12.554536 7.385021 21.416562
468 468 1  12.554536 8.123524 20.678060
469 469 1  13.293038 7.385021 20.678060
470 470 1  13.293038 8.123524 21.416562
471 471 1  14.031541 7.385021 21.416562
472 472 1  14.031541 8.123524 20.678060
473 473 1  0.000000 8.862026 20.678060
474 474 1  0.000000 9.600528 21.416562
475 475 1  0.738502 8.862026 21.416562
476 476 1  0.738502 9.600528 20.678060
477 477 1  1.477004 8.862026 20.678060
478 478 1  1.477004 9.600528 21.416562
479 479 1  2.215506 8.862026 21.416562
480 480 1  2.215506 9.600528 20.678060
481 481 1  2.954009 8.862026 20.678060
482 482 1  2.954009 9.600528 21.416562
483 483 1  11.816034 8.862026 20.678060
484 484 1  11.816034 9.600528 21.416562
485 485 1  12.554536 8.862026 21.416562
486 486 1  12.554536 9.600528 20.678060
487 487 1  13.293038 8.862026 20.678060
488 488 1  13.293038 9.600528 21.416562
489 489 1  14.031541 8.862026 21.416562
490 490 1  14.031541 9.600528 20.678060
491 491 1  0.000000 10.339030 20.678060
492 492 1  0.000000 11.077532 21.416562
493 493 1  0.738502 10.339030 21.416562
494 494 1  0.738502 11.077532 20.678060
495 495 1  1.477004 10.339030 20.678060
496 496 1  1.477004 11.077532 21.416562
497 497 1  2.215506 10.339030 21.416562
498 498 1  2.215506 11.077532 20.678060
499 499 1  2.954009 10.339030 20.678060
500 500 1  2.954009 11.077532 21.416562
501 501 1  3.692511 10.339030 21.416562
502 502 1  3.692511 11.077532 20.678060
503 503 1  4.431013 11.077532 21.416562
504 504 1  10.339030 11.077532 21.416562
505 505 1  11.077532 10.339030 21.416562
506 506 1  11.077532 11.077532 20.678060
507 507 1  11.816034 10.339030 20.678060
508 508 1  11.816034 11.077532 21.416562
509 509 1  12.554536 10.339030 21.416562
510 510 1  12.554536 11.077532 20.678060
511 511 1  13.293038 10.339030 20.678060
512 512 1  13.293038 11.077532 21.416562
513 513 1  14.031541 10.339030 21.416562
514 514 1  14.031541 11.077532 20.678060
515 515 1  0.000000 11.816034 20.678060
516 516 1  0.000000 12.554536 21.416562
517 517 1  0.738502 11.816034 21.416562
518 518 1  0.738502 12.554536 20.678060
519 519 1  1.477004 11.816034 20.678060
520 520 1  1.477004 12.554536 21.416562
521 521 1  2.215506 11.816034 21.416562
522 522 1  2.215506 12.554536 20.678060
523 523 1  2.954009 11.816034 20.678060
524 524 1  2.954009 12.554536 21.416562
525 525 1  3.692511 11.816034 21.416562
526 526 1  3.692511 12.554536 20.678060
527 527 1  4.431013 11.816034 20.678060
528 528 1  4.431013 12.554536 21.416562
529 529 1  5.169515 11.816034 21.416562
530 530 1  5.169515 12.554536 20.678060
531 531 1  5.908017 11.816034 20.678060
532 532 1  5.908017 12.554536 21.416562
533 533 1  6.646519 11.816034 21.416562
534 534 1  6.646519 12.554536 20.678060
535 535 1  7.385021 11.816034 20.678060
536 536 1  7.385021 12.554536 21.416562
537 537 1  8.123524 11.816034 21.416562
538 538 1  8.123524 12.554536 20.678060
539 539 1  8.862026 11.816034 20.678060
540 540 1  8.862026 12.554536 21.416562
541 541 1  9.600528 11.816034 21.416562
542 542 1  9.600528 12.554536 20.678060
543 543 1  10.339030 11.816034 20.678060
544 544 1  10.339030 12.554536 21.416562
545 545 1  11.077532 11.816034 21.416562
546 546 1  11.077532 12.554536 20.678060
547 547 1  11.816034 11.816034 20.678060
548 548 1  11.816034 12.554536 21.416562
549 549 1  12.554536 11.816034 21.416562
550 550 1  12.554536 12.554536 20.678060
551 551 1  13.293038 11.816034 20.678060
552 552 1  13.293038 12.554536 21.416562
553 553 1  14.031541 11.816034 21.416562
554 554 1  14.031541 12.554536 20.678060
555 555 1  0.000000 13.293038 20.678060
556 556 1  0.000000 14.031541 21.416562
557 557 1  0.738502 13.293038 21.416562
558 558 1  0.738502 14.031541 20.678060
559 559 1  1.477004 13.293038 20.678060
560 560 1  1.477004 14.031541 21.416562
561 561 1  2.215506 13.293038 21.416562
562 562 1  2.215506 14.031541 20.678060
563 563 1  2.954009 13.293038 20.678060
564 564 1  2.954009 14.031541 21.416562
565 565 1  3.692511 13.293038 21.416562
566 566 1  3.692511 14.031541 20.678060
567 567 1  4.431013 13.293038 20.678060
568 568 1  4.431013 14.031541 21.416562
