# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_chunkvel[1] c_chunkvel[2] c_chunkvel[3]
1001000 20
11 -0.0684001 1.45149 0.0475653
12 -0.011793 1.80584 0.0825213
13 -0.00897628 2.17723 -0.0537364
14 0.020649 2.53766 -0.108649
15 -0.0919171 3.00033 -0.0130513
16 0.0134508 3.61368 -0.0732792
17 -0.0811858 4.22898 0.0524989
18 0.171811 4.79408 0.0602457
19 0.0164399 5.6601 0.12539
20 0 0 0
1019000 20
1 0 0 0
2 -0.0379304 -1.35626 0.963227
3 -0.126201 0.00851385 -0.0407301
4 0.121267 0.140825 -0.0298816
5 -0.0172467 0.271325 -0.0199198
6 -0.0578414 0.571859 -0.108369
7 -0.0678199 0.74646 0.0503834
8 -0.0432547 0.755211 -0.0276234
9 7.12023e-06 0.892404 -0.119524
10 -0.0749237 1.18394 -0.0640653
11 0.0780099 1.41672 0.0461487
12 -0.000328442 1.8316 0.0538168
13 -0.0397552 2.15304 -0.0174254
14 -0.0471853 2.5493 0.0118438
15 0.0864599 3.03118 -0.00453316
16 0.108909 3.62667 -0.150094
17 -0.0960608 4.26928 -0.0562393
18 0.0542246 4.64011 0.086316
19 -0.259567 3.83652 0.185235
20 0 0 0
1020000 20
1 0 0 0
2 -0.556455 -1.66888 -2.02648
3 -0.0952575 -0.0936592 0.0690046
4 0.00589684 0.15342 0.058455
5 0.0407546 0.279479 -0.0579671
6 -0.0285852 0.595772 -0.13957
7 -0.128879 0.697168 0.0354694
8 -0.0211372 0.779613 -0.01679
9 -0.037943 0.878311 0.0259666
10 -0.118332 1.17958 0.0745588
11 0.057134 1.44605 0.0208656
12 -0.0507812 1.7891 -0.0123618
13 -0.017049 2.19805 0.0866961
14 -0.0866708 2.57003 -0.0377034
15 0.14759 2.96575 0.0341962
16 0.065406 3.67139 -0.152598
17 0.0504007 4.28084 0.123706
18 0.0466294 4.58828 0.106517
19 -0.500184 3.66945 0.0828666
20 0 0 0
1021000 20
1 0 0 0
2 0.176342 -1.71234 -0.477259
3 0.0496779 -0.0416178 0.0175044
4 0.00786003 0.138863 -0.0557349
5 -0.0513758 0.318967 -0.0601313
6 -0.0627131 0.550982 0.00812732
7 -0.0747597 0.712488 -0.104578
8 -0.0836714 0.770798 -0.0495494
9 -0.0588387 0.915688 0.0314696
10 0.039111 1.14033 0.152506
11 -0.143069 1.47376 -0.0301175
12 -0.0115089 1.73454 -0.102943
13 0.0250097 2.26045 0.0850327
14 -0.115442 2.55484 -0.0939415
15 -0.0960024 2.95682 0.0484463
16 0.0656821 3.60595 0.0653221
17 0.00896936 4.30207 0.0126843
18 0.0298672 4.6948 0.0617874
19 0.151383 4.7815 0.174518
20 0 0 0
1022000 20
1 0 0 0
2 -0.230453 -1.80279 0.000478026
3 0.0153381 0.0570076 -0.108473
4 -0.038949 0.141244 -0.0310905
5 -0.117475 0.338 -0.0528831
