# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
132600 748.644
132700 765.646
132800 807.672
132900 743.944
133000 767.91
133100 761.212
133200 733.368
133300 776.527
133400 782.115
133500 787.344
133600 709.78
133700 747.591
133800 759.786
133900 764.043
134000 744.661
134100 748.945
134200 789.767
134300 770.826
134400 772.159
134500 782.495
134600 756.186
134700 746.215
134800 769.722
134900 751.336
135000 768.955
135100 751.683
135200 773.616
135300 762.614
135400 790.35
135500 761.649
135600 775.718
135700 777.327
135800 767.966
135900 747.673
136000 812.158
136100 773.237
136200 783.59
136300 737.276
136400 805.991
136500 735.901
136600 801.52
136700 763.134
136800 764.806
136900 742.837
137000 775.595
137100 767.675
137200 768.673
137300 735.718
137400 750.351
137500 779.735
137600 745.821
137700 697.772
137800 730.86
137900 786.043
138000 730.857
138100 769.774
138200 752.72
138300 769.319
138400 750.069
138500 784.029
138600 747.374
138700 810.898
138800 773.761
138900 749.103
139000 804.711
139100 754.598
139200 785.63
139300 749.471
139400 775.652
139500 744.63
139600 756.97
139700 719.826
139800 774.462
139900 757.298
140000 766.745
140100 739.768
140200 727.996
140300 754.024
140400 760.456
140500 761.947
140600 763.346
140700 769.447
140800 757.175
140900 740.231
141000 780.79
141100 728.002
141200 773.645
141300 737.402
141400 756.361
141500 746.469
141600 732.495
141700 773.402
141800 784.725
141900 741.009
142000 758.318
142100 795.174
142200 738.648
142300 767.564
142400 779.369
142500 756.94
142600 780.198
142700 776.968
142800 758.548
142900 793.716
143000 743.764
143100 748.419
143200 737.105
143300 744.591
143400 718.12
143500 777.672
143600 783.255
143700 719.817
143800 716.661
143900 741.646
144000 772.679
144100 756.106
144200 753.278
144300 766.308
144400 770.518
144500 747.12
144600 747.145
144700 716.638
144800 767.234
144900 732.122
145000 752.692
145100 779.374
145200 785.814
145300 754.743
145400 778.703
145500 758.139
145600 777.852
145700 754.996
145800 766.293
145900 793.811
146000 720.686
146100 738.832
146200 744.2
146300 752.682
146400 774.688
146500 747.671
146600 755.308
146700 729.037
146800 759.9
146900 753.085
147000 763.709
147100 747.861
147200 755.571
147300 775.169
147400 763.791
147500 754.175
147600 771.706
147700 751.46
147800 759.299
147900 769.689
148000 749.887
148100 765.948
148200 766.704
148300 781.281
148400 724.802
148500 744.706
148600 786.544
148700 753.175
148800 754.1
148900 776.499
149000 803.418
149100 766.844
149200 756.442
149300 759.961
149400 748.56
149500 753.965
149600 758.262
149700 771.044
149800 755.783
149900 771.28
150000 771.929
150100 754.438
150200 755.349
150300 752.107
150400 734.831
150500 779.588
150600 767.589
150700 779.396
150800 740.846
150900 771.526
151000 759.596
151100 746.66
151200 748.233
151300 746.286
151400 748.545
151500 746.8
151600 800.863
151700 788.15
151800 763.909
151900 736.859
152000 734.543
152100 765.541
152200 742.336
152300 793.006
152400 748.33
152500 760.053
152600 751.868
152700 730.82
152800 773.035
152900 759.854
153000 753.677
153100 764.125
153200 761.493
153300 752.195
153400 790.28
153500 747.071
153600 749.419
153700 760.99
153800 743.151
153900 786.71
154000 767.684
154100 742.278
154200 750.555
154300 770.982
154400 758.154
154500 745.632
154600 777.505
154700 787.874
154800 765.544
